"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","781","p3br6yhq8tv","rhino","","","","","","","","","",""
"true","","","","","fullscreen","1","null","4290","p3br6yhq8tv","rhino","2503","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","21656","p3br6yhq8tv","rhino","17364","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","25146","p3br6yhq8tv","rhino","3488","","{""participant_id"":""rhino""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","35467","p3br6yhq8tv","rhino","10319","","{""image_description"":""black square""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","52714","p3br6yhq8tv","rhino","16735","","{""image_description"":""top of a scythe""}","study","39","stimuli/39.jpg","6609.47","10","top of a scythe","4"
"","","","","","survey-text","6","2.0.0","76003","p3br6yhq8tv","rhino","22784","","{""image_description"":""a leaf with the top left portion ripped off""}","study","106","stimuli/106.jpg","6901.59","24","a leaf with the top left portion ripped off","9"
"","","","","","survey-text","7","2.0.0","130600","p3br6yhq8tv","rhino","54090","","{""image_description"":""upside down trapezoid with a triangle taken off the top\n""}","study","30","stimuli/30.jpg","6632.49","8","upside down trapezoid with a triangle taken off the top
","10"
"","","","","","survey-text","8","2.0.0","155032","p3br6yhq8tv","rhino","23929","","{""image_description"":""a maple lead pointed to the left""}","study","45","stimuli/45.jpg","6703.14","11","a maple lead pointed to the left","7"
"","","","","","survey-text","9","2.0.0","260307","p3br6yhq8tv","rhino","104755","","{""image_description"":""a triangle at the top of the shape pointed to the right, and then the top of a square, and then something sharp pointed to the right and the bottom left corner is a right angle, as you trace back up to the triangle there is a little ledge that hangs off that points to the left""}","study","138","stimuli/138.jpg","7120.54","30","a triangle at the top of the shape pointed to the right, and then the top of a square, and then something sharp pointed to the right and the bottom left corner is a right angle, as you trace back up to the triangle there is a little ledge that hangs off that points to the left","57"
"","","","","","survey-text","10","2.0.0","290590","p3br6yhq8tv","rhino","29766","","{""image_description"":""the top of a wrench facing to the left with a triangle on top pointing to the upper right corner""}","study","102","stimuli/102.jpg","6857.23","23","the top of a wrench facing to the left with a triangle on top pointing to the upper right corner","20"
"","","","","","survey-text","11","2.0.0","323575","p3br6yhq8tv","rhino","32472","","{""image_description"":""it looks like a glove with four fingers ""}","study","128","stimuli/128.jpg","7090.6","28","it looks like a glove with four fingers ","9"
"","","","","","survey-text","12","2.0.0","415856","p3br6yhq8tv","rhino","91771","","{""image_description"":""this looks like the top of a hand sanitizer with two  pointy corners hanging off of it""}","study","73","stimuli/73.jpg","6798.06","17","this looks like the top of a hand sanitizer with two  pointy corners hanging off of it","18"
"","","","","","survey-text","13","2.0.0","452061","p3br6yhq8tv","rhino","35699","","{""image_description"":""a simple drawing of a fox facing to the right and a right triangle looking to the left""}","study","83","stimuli/83.jpg","6903.38","19","a simple drawing of a fox facing to the right and a right triangle looking to the left","18"
"","","","","","survey-text","14","2.0.0","468594","p3br6yhq8tv","rhino","16023","","{""image_description"":""this looks like a bonzai tree""}","study","135","stimuli/135.jpg","7034.4","29","this looks like a bonzai tree","6"
"","","","","","survey-text","15","2.0.0","497395","p3br6yhq8tv","rhino","28297","","{""image_description"":""this looks like a very simplified version of sonic the hedgehog if his face was a square, he is also looking to the left""}","study","72","stimuli/72.jpg","6817.14","17","this looks like a very simplified version of sonic the hedgehog if his face was a square, he is also looking to the left","24"
"","","","","","survey-text","16","2.0.0","529249","p3br6yhq8tv","rhino","31352","","{""image_description"":""this is a triangle where the top is pointing to the bottom left corner""}","study","5","stimuli/5.jpg","6522.84","3","this is a triangle where the top is pointing to the bottom left corner","14"
"","","","","","survey-text","17","2.0.0","595971","p3br6yhq8tv","rhino","66207","","{""image_description"":""this looks like the top of a volcano pointing to the top right and then there is a sharp corner facing up  and then as you trace back towards the volcano there is a little divot ""}","study","57","stimuli/57.jpg","6789.16","14","this looks like the top of a volcano pointing to the top right and then there is a sharp corner facing up  and then as you trace back towards the volcano there is a little divot ","38"
"","","","","","survey-text","18","2.0.0","630007","p3br6yhq8tv","rhino","33530","","{""image_description"":""this is a badly drawn hexagon with a sharp corner on the top left that turns it into a septagon""}","study","24","stimuli/24.jpg","6629.99","7","this is a badly drawn hexagon with a sharp corner on the top left that turns it into a septagon","20"
"","","","","","survey-text","19","2.0.0","653407","p3br6yhq8tv","rhino","22896","","{""image_description"":""trapezoid with the top shorter side pointed towards the right""}","study","12","stimuli/12.jpg","6544.99","5","trapezoid with the top shorter side pointed towards the right","10"
"","","","","","survey-text","20","2.0.0","715663","p3br6yhq8tv","rhino","61746","","{""image_description"":""this looks like a pair of jeans and on the bottom left there is a right triangle, going up the left pant leg there is a triangle that points to the left and then a rectangle that also points to the left""}","study","130","stimuli/130.jpg","7037.09","28","this looks like a pair of jeans and on the bottom left there is a right triangle, going up the left pant leg there is a triangle that points to the left and then a rectangle that also points to the left","42"
"","","","","","survey-text","21","2.0.0","771900","p3br6yhq8tv","rhino","55725","","{""image_description"":""if you squint really hard it looks like a goat head on the left and then when you go to the right its a rectangle with a bumpy top with a sharp corner on the bottom right""}","study","100","stimuli/100.jpg","6897.69","22","if you squint really hard it looks like a goat head on the left and then when you go to the right its a rectangle with a bumpy top with a sharp corner on the bottom right","37"
"","","","","","survey-text","22","2.0.0","807717","p3br6yhq8tv","rhino","35300","","{""image_description"":""this looks like a spaceship to me ""}","study","107","stimuli/107.jpg","6920.13","24","this looks like a spaceship to me ","8"
"","","","","","survey-text","23","2.0.0","879164","p3br6yhq8tv","rhino","70943","","{""image_description"":""this looks like the outline of the side profile of someone with a flat top like guile from street fighter, a big nose, and a pointy chin, and the left is a rectangle with a pointy bottom left corner""}","study","79","stimuli/79.jpg","6796.42","18","this looks like the outline of the side profile of someone with a flat top like guile from street fighter, a big nose, and a pointy chin, and the left is a rectangle with a pointy bottom left corner","39"
"","","","","","survey-text","24","2.0.0","969037","p3br6yhq8tv","rhino","89370","","{""image_description"":""the top looks like a rabbit and the rest of the body is really weird, like the bottom right of the body is a square, and the left side of the body has a pointy back portion and a rectangle sticking up out the back""}","study","150","stimuli/150.jpg","7209.25","32","the top looks like a rabbit and the rest of the body is really weird, like the bottom right of the body is a square, and the left side of the body has a pointy back portion and a rectangle sticking up out the back","45"
"","","","","","survey-text","25","2.0.0","1038044","p3br6yhq8tv","rhino","68487","","{""Q0"":""I think this experiment was to see if simple drawings and complex drawings would have shorter or longer descriptions"",""Q1"":""I did not experience any issues"",""Q2"":""Yes"",""Q3"":""No this experiment worked as intended""}","","","","","","",""
