"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","227","p7zs0h0auf4","seal","","","","","","","","","",""
"true","","","","","fullscreen","1","null","6860","p7zs0h0auf4","seal","5629","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","15514","p7zs0h0auf4","seal","8653","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","18664","p7zs0h0auf4","seal","3148","","{""participant_id"":""seal""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","40713","p7zs0h0auf4","seal","22044","","{""image_description"":""a square with a black line""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","131540","p7zs0h0auf4","seal","90325","","{""image_description"":""a 5 sided polygon with the right two sides having the shortest lines and the left side and bottom side having the longest lines. the top line connects the right and the left side""}","study","11","stimuli/11.jpg","6580.42","5","a 5 sided polygon with the right two sides having the shortest lines and the left side and bottom side having the longest lines. the top line connects the right and the left side","34"
"","","","","","survey-text","6","2.0.0","296496","p7zs0h0auf4","seal","164452","","{""image_description"":""a five sided polygon with the top line being the longest, then it has a straight line down then a short line perpendicular to the previous line, then another perpendicular line, then the final line connects to the top line""}","study","13","stimuli/13.jpg","6577.27","5","a five sided polygon with the top line being the longest, then it has a straight line down then a short line perpendicular to the previous line, then another perpendicular line, then the final line connects to the top line","40"
"","","","","","survey-text","7","2.0.0","341400","p7zs0h0auf4","seal","44400","","{""image_description"":""a four sided polygon that looks like a rectangle with two triangles added to the left and the bottom""}","study","7","stimuli/7.jpg","6558.43","4","a four sided polygon that looks like a rectangle with two triangles added to the left and the bottom","19"
"","","","","","survey-text","8","2.0.0","353192","p7zs0h0auf4","seal","11289","","{""image_description"":""a unicorn with straight lines""}","study","155","stimuli/155.jpg","7171.51","33","a unicorn with straight lines","5"
"","","","","","survey-text","9","2.0.0","370756","p7zs0h0auf4","seal","17060","","{""image_description"":""a spider with 6 legs with straight lines""}","study","123","stimuli/123.jpg","7035.3","27","a spider with 6 legs with straight lines","8"
"","","","","","survey-text","10","2.0.0","393056","p7zs0h0auf4","seal","21797","","{""image_description"":""a profile of a man with a big nose all with straight lines""}","study","44","stimuli/44.jpg","6692.06","11","a profile of a man with a big nose all with straight lines","13"
"","","","","","survey-text","11","2.0.0","452215","p7zs0h0auf4","seal","58655","","{""image_description"":""a straight edged polygon with three ridges""}","study","52","stimuli/52.jpg","6699.28","13","a straight edged polygon with three ridges","7"
"","","","","","survey-text","12","2.0.0","483924","p7zs0h0auf4","seal","31207","","{""image_description"":""a gear with three notches""}","study","94","stimuli/94.jpg","6965.94","21","a gear with three notches","5"
"","","","","","survey-text","13","2.0.0","533414","p7zs0h0auf4","seal","48987","","{""image_description"":""a crab with two pinchers and a tail""}","study","63","stimuli/63.jpg","6749.45","15","a crab with two pinchers and a tail","8"
"","","","","","survey-text","14","2.0.0","579136","p7zs0h0auf4","seal","45219","","{""image_description"":""a praying mantis ""}","study","121","stimuli/121.jpg","6999.52","27","a praying mantis ","4"
"","","","","","survey-text","15","2.0.0","588725","p7zs0h0auf4","seal","9086","","{""image_description"":""a boat with a sail""}","study","80","stimuli/80.jpg","6806.13","18","a boat with a sail","5"
"","","","","","survey-text","16","2.0.0","609879","p7zs0h0auf4","seal","20651","","{""image_description"":""a profile with the mouth open""}","study","90","stimuli/90.jpg","6873.09","20","a profile with the mouth open","6"
"","","","","","survey-text","17","2.0.0","654497","p7zs0h0auf4","seal","44115","","{""image_description"":""magneto from x-men's helmet ""}","study","140","stimuli/140.jpg","7121.36","30","magneto from x-men's helmet ","5"
"","","","","","survey-text","18","2.0.0","663927","p7zs0h0auf4","seal","8927","","{""image_description"":""a bolded letter E""}","study","40","stimuli/40.jpg","6690.54","10","a bolded letter E","4"
"","","","","","survey-text","19","2.0.0","693649","p7zs0h0auf4","seal","29219","","{""image_description"":""a sharp weapon ""}","study","85","stimuli/85.jpg","6831.41","19","a sharp weapon ","4"
"","","","","","survey-text","20","2.0.0","748493","p7zs0h0auf4","seal","54340","","{""image_description"":""a rectangle with three protruding sharp sides""}","study","89","stimuli/89.jpg","6850.88","20","a rectangle with three protruding sharp sides","7"
