"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","2456","p9gu9xrl5u4","pelican","","","","","","","","","",""
"true","","","","","fullscreen","1","null","20601","p9gu9xrl5u4","pelican","17141","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","28848","p9gu9xrl5u4","pelican","8246","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","32508","p9gu9xrl5u4","pelican","3657","","{""participant_id"":""pelican""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","41034","p9gu9xrl5u4","pelican","8514","","{""image_description"":""square\n""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","111012","p9gu9xrl5u4","pelican","69474","","{""image_description"":""a pterodactyl facing left with its wing up""}","study","100","stimuli/100.jpg","6897.69","22","a pterodactyl facing left with its wing up","8"
"","","","","","survey-text","6","2.0.0","195747","p9gu9xrl5u4","pelican","84231","","{""image_description"":""somewhat u-shaped with the bottom on the left. very jagged. top half wider than the bottom""}","study","80","stimuli/80.jpg","6806.13","18","somewhat u-shaped with the bottom on the left. very jagged. top half wider than the bottom","16"
"","","","","","survey-text","7","2.0.0","240733","p9gu9xrl5u4","pelican","44483","","{""image_description"":""diamond with the angle on the right being pinched. ""}","study","22","stimuli/22.jpg","6593.16","7","diamond with the angle on the right being pinched. ","10"
"","","","","","survey-text","8","2.0.0","380084","p9gu9xrl5u4","pelican","138846","","{""image_description"":""an enlarged and stretched out arrow pointing 45 degrees to the right. a cake server with a sharp point""}","study","28","stimuli/28.jpg","6676.6","8","an enlarged and stretched out arrow pointing 45 degrees to the right. a cake server with a sharp point","19"
"","","","","","survey-text","9","2.0.0","439678","p9gu9xrl5u4","pelican","59091","","{""image_description"":""a pointy dog head facing left. ear on the left is halfway up and ear on the right is down\n""}","study","84","stimuli/84.jpg","6959.66","19","a pointy dog head facing left. ear on the left is halfway up and ear on the right is down
","20"
"","","","","","survey-text","10","2.0.0","588593","p9gu9xrl5u4","pelican","148412","","{""image_description"":""a rectangle with a triangle and and almost trapezoid on top""}","study","37","stimuli/37.jpg","6725.55","10","a rectangle with a triangle and and almost trapezoid on top","11"
"","","","","","survey-text","11","2.0.0","622338","p9gu9xrl5u4","pelican","33242","","{""image_description"":""a parrot facing left and its wing stretched out in front of it\n""}","study","52","stimuli/52.jpg","6699.28","13","a parrot facing left and its wing stretched out in front of it
","13"
"","","","","","survey-text","12","2.0.0","687880","p9gu9xrl5u4","pelican","65039","","{""image_description"":""an eagle flying to the left and the wing on the right is much larger than the one on the left""}","study","61","stimuli/61.jpg","6864.98","15","an eagle flying to the left and the wing on the right is much larger than the one on the left","21"
"","","","","","survey-text","13","2.0.0","731791","p9gu9xrl5u4","pelican","43407","","{""image_description"":""rhombus wider than it is tall""}","study","8","stimuli/8.jpg","6564.91","4","rhombus wider than it is tall","6"
"","","","","","survey-text","14","2.0.0","780681","p9gu9xrl5u4","pelican","48386","","{""image_description"":""pacman with a sharp chin and pointy nose/upper mouth. facing left\n""}","study","43","stimuli/43.jpg","6685.72","11","pacman with a sharp chin and pointy nose/upper mouth. facing left
","11"
"","","","","","survey-text","15","2.0.0","830458","p9gu9xrl5u4","pelican","49273","","{""image_description"":""this kind of looks like scar from nemo. facing right\n""}","study","141","stimuli/141.jpg","7037.04","31","this kind of looks like scar from nemo. facing right
","10"
"","","","","","survey-text","16","2.0.0","922540","p9gu9xrl5u4","pelican","91578","","{""image_description"":""this also looks like a fish facing left\n""}","study","155","stimuli/155.jpg","7171.51","33","this also looks like a fish facing left
","8"
"","","","","","survey-text","17","2.0.0","969209","p9gu9xrl5u4","pelican","46165","","{""image_description"":""howling dog in sit position facing right\n""}","study","150","stimuli/150.jpg","7209.25","32","howling dog in sit position facing right
","7"
