"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","477","pb8moe74w22","badger","","","","","","","","","",""
"true","","","","","fullscreen","1","null","4149","pb8moe74w22","badger","2669","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","36990","pb8moe74w22","badger","32838","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","38950","pb8moe74w22","badger","1956","","{""participant_id"":""badger""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","54715","pb8moe74w22","badger","15750","","{""image_description"":""four lines\n""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","103232","pb8moe74w22","badger","48014","","{""image_description"":""a distorted rectangle""}","study","26","stimuli/26.jpg","6669.01","8","a distorted rectangle","3"
"","","","","","survey-text","6","2.0.0","111598","pb8moe74w22","badger","7861","","{""image_description"":""a distorted triangle""}","study","16","stimuli/16.jpg","6566.56","6","a distorted triangle","3"
"","","","","","survey-text","7","2.0.0","125616","pb8moe74w22","badger","13513","","{""image_description"":""a weird x that has different branches\n""}","study","103","stimuli/103.jpg","6915.47","23","a weird x that has different branches
","7"
"","","","","","survey-text","8","2.0.0","188132","pb8moe74w22","badger","62010","","{""image_description"":""a pokemon""}","study","139","stimuli/139.jpg","7164.58","30","a pokemon","2"
"","","","","","survey-text","9","2.0.0","243483","pb8moe74w22","badger","54846","","{""image_description"":""4 different lines of different sizes connected to each other""}","study","12","stimuli/12.jpg","6544.99","5","4 different lines of different sizes connected to each other","10"
"","","","","","survey-text","10","2.0.0","312067","pb8moe74w22","badger","68079","","{""image_description"":""a cat\n\n""}","study","150","stimuli/150.jpg","7209.25","32","a cat

","2"
"","","","","","survey-text","11","2.0.0","367667","pb8moe74w22","badger","55098","","{""image_description"":""a star fish""}","study","153","stimuli/153.jpg","7262.77","33","a star fish","3"
"","","","","","survey-text","12","2.0.0","377168","pb8moe74w22","badger","8995","","{""image_description"":""a piece of paper\n""}","study","22","stimuli/22.jpg","6593.16","7","a piece of paper
","4"
"","","","","","survey-text","13","2.0.0","491649","pb8moe74w22","badger","113979","","{""image_description"":""grass\n""}","study","55","stimuli/55.jpg","6800","13","grass
","1"
"","","","","","survey-text","14","2.0.0","500402","pb8moe74w22","badger","8249","","{""image_description"":""a map""}","study","107","stimuli/107.jpg","6920.13","24","a map","2"
