"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","874","plpdv4q6fyy","eagle","","","","","","","","","",""
"true","","","","","fullscreen","1","null","22483","plpdv4q6fyy","eagle","20605","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","43935","plpdv4q6fyy","eagle","21451","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>","ArrowRight","","","","","","",""
"","","","","","survey-text","3","2.0.0","49280","plpdv4q6fyy","eagle","5341","","{""participant_id"":""eagle""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","109077","plpdv4q6fyy","eagle","59785","","{""image_description"":""a square/rectangle. two sets of parallel lines connected with four 90 degree angles.""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","270226","plpdv4q6fyy","eagle","160651","","{""image_description"":""longer line from the top left to middle of the right. from the middle of the right, a shorter line going towards the lower left. another line connected to that one also going to the lower left. a longer line connected to that going towards the upper left. a last line connecting the whole shape together.""}","study","17","stimuli/17.jpg","6592.16","6","longer line from the top left to middle of the right. from the middle of the right, a shorter line going towards the lower left. another line connected to that one also going to the lower left. a longer line connected to that going towards the upper left. a last line connecting the whole shape together.","56"
"","","","","","survey-text","6","2.0.0","595138","plpdv4q6fyy","eagle","324418","","{""image_description"":""a line going from the left side up to the right. connected from the right is lines in the shape of a rhombus/parallelogram, but the top is missing. from there a line going towards the lower right. connected is a line going left that's at less than a 90 degree angle. a line then going towards the bottom right corner that's quite short connected to a line going almost straight down. a small line that creates two sides of a triangle, followed by a line going to the bottom left. another line going towards the top left corner. a line going towards the left side connected to two lines going back up towards the first line drawn.""}","study","68","stimuli/68.jpg","6783.11","16","a line going from the left side up to the right. connected from the right is lines in the shape of a rhombus/parallelogram, but the top is missing. from there a line going towards the lower right. connected is a line going left that's at less than a 90 degree angle. a line then going towards the bottom right corner that's quite short connected to a line going almost straight down. a small line that creates two sides of a triangle, followed by a line going to the bottom left. another line going towards the top left corner. a line going towards the left side connected to two lines going back up towards the first line drawn.","117"
"","","","","","survey-text","7","2.0.0","714670","plpdv4q6fyy","eagle","119030","","{""image_description"":""it kinda looks like a head, two arms, two feet, and a tail all very angular and like trapezoids or parallelograms.""}","study","116","stimuli/116.jpg","7061.19","26","it kinda looks like a head, two arms, two feet, and a tail all very angular and like trapezoids or parallelograms.","21"
"","","","","","survey-text","8","2.0.0","762585","plpdv4q6fyy","eagle","47414","","{""image_description"":""almost line a parallelogram with one one side, at the top, that's got a triangular bump on the right side.""}","study","35","stimuli/35.jpg","6698.42","9","almost line a parallelogram with one one side, at the top, that's got a triangular bump on the right side.","20"
"","","","","","survey-text","9","2.0.0","811382","plpdv4q6fyy","eagle","48293","","{""image_description"":""looks like a flat bird with a beak pointing towards the left and spiky hair on the right. two legs and a tail at the bottom.""}","study","131","stimuli/131.jpg","7030.26","29","looks like a flat bird with a beak pointing towards the left and spiky hair on the right. two legs and a tail at the bottom.","26"
