"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","373","pnbgzhu4k0l","falcon","","","","","","","","","",""
"true","","","","","fullscreen","1","null","13889","pnbgzhu4k0l","falcon","12513","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","43608","pnbgzhu4k0l","falcon","29715","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","47189","pnbgzhu4k0l","falcon","3577","","{""participant_id"":""falcon""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","54769","pnbgzhu4k0l","falcon","7559","","{""image_description"":""square""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","111416","pnbgzhu4k0l","falcon","56131","","{""image_description"":""A bird with a lot of pointed sides everywhere. A box below its beak ""}","study","97","stimuli/97.jpg","7048.4","22","A bird with a lot of pointed sides everywhere. A box below its beak ","15"
"","","","","","survey-text","6","2.0.0","141193","pnbgzhu4k0l","falcon","29264","","{""image_description"":""the grinches face with every point on its face pointy""}","study","155","stimuli/155.jpg","7171.51","33","the grinches face with every point on its face pointy","10"
"","","","","","survey-text","7","2.0.0","249303","pnbgzhu4k0l","falcon","107593","","{""image_description"":""a bird with the bottom a slanted box to the left, a neck connected straight to the beak. Then the bird has some boxy hair.""}","study","65","stimuli/65.jpg","6894.67","15","a bird with the bottom a slanted box to the left, a neck connected straight to the beak. Then the bird has some boxy hair.","25"
"","","","","","survey-text","8","2.0.0","288660","pnbgzhu4k0l","falcon","38843","","{""image_description"":""a bird drawn with a large square at the bottom, pointed wings, and a triangle at the end of his body (on the left)\n""}","study","37","stimuli/37.jpg","6725.55","10","a bird drawn with a large square at the bottom, pointed wings, and a triangle at the end of his body (on the left)
","24"
"","","","","","survey-text","9","2.0.0","330644","pnbgzhu4k0l","falcon","41473","","{""image_description"":""a square slanted on both sides to the middle, sanding on the left side of the shape""}","study","9","stimuli/9.jpg","6544.29","4","a square slanted on both sides to the middle, sanding on the left side of the shape","17"
"","","","","","survey-text","10","2.0.0","409498","pnbgzhu4k0l","falcon","78338","","{""image_description"":""on the left side, there is a square slanted on both sides, a triangle on the opposite end, a long skinnish triangle at the middle and a diamond connected on the right and the other side a square""}","study","121","stimuli/121.jpg","6999.52","27","on the left side, there is a square slanted on both sides, a triangle on the opposite end, a long skinnish triangle at the middle and a diamond connected on the right and the other side a square","38"
"","","","","","survey-text","11","2.0.0","531980","pnbgzhu4k0l","falcon","121965","","{""image_description"":""Extended triangle on top, a box with a small triangle connected on the bottom. w Slanted boxes on the same side, separated by a space shaped of a square, located at opposite side of the small triangle and a open ""}","study","138","stimuli/138.jpg","7120.54","30","Extended triangle on top, a box with a small triangle connected on the bottom. w Slanted boxes on the same side, separated by a space shaped of a square, located at opposite side of the small triangle and a open ","41"
"","","","","","survey-text","12","2.0.0","595912","pnbgzhu4k0l","falcon","63416","","{""image_description"":""A slanted square with a open triangle space on the bottom right side, with also another triangle on the top right""}","study","31","stimuli/31.jpg","6687.71","9","A slanted square with a open triangle space on the bottom right side, with also another triangle on the top right","21"
"","","","","","survey-text","13","2.0.0","689931","pnbgzhu4k0l","falcon","93503","","{""image_description"":""triangle at the top left, a slanted square connecting at the top of the traingle. Another extended square becoming thinner, another box connected long, with a small triangle at the left bottom side""}","study","100","stimuli/100.jpg","6897.69","22","triangle at the top left, a slanted square connecting at the top of the traingle. Another extended square becoming thinner, another box connected long, with a small triangle at the left bottom side","33"
"","","","","","survey-text","14","2.0.0","805112","pnbgzhu4k0l","falcon","114664","","{""image_description"":""trapezoid almost upside down cut in 2/3 with that last half of the trapezoid being a triangle connected from the bottom side. Another triangle connecting at the edge of the left side of the triangle. Lastly, another piece small triangle connected at the bottom right of the shape""}","study","45","stimuli/45.jpg","6703.14","11","trapezoid almost upside down cut in 2/3 with that last half of the trapezoid being a triangle connected from the bottom side. Another triangle connecting at the edge of the left side of the triangle. Lastly, another piece small triangle connected at the bottom right of the shape","48"
"","","","","","survey-text","15","2.0.0","900863","pnbgzhu4k0l","falcon","95233","","{""image_description"":""the sandmans head from Transylvania facing the left side (tilted up). The body is a long trapezoid on the right side. A triangle on the left side. Another squarish, slanted towards the shape on the bottom left""}","study","96","stimuli/96.jpg","6946.2","22","the sandmans head from Transylvania facing the left side (tilted up). The body is a long trapezoid on the right side. A triangle on the left side. Another squarish, slanted towards the shape on the bottom left","37"
"","","","","","survey-text","16","2.0.0","934273","pnbgzhu4k0l","falcon","32897","","{""image_description"":""trapezoid upside down but the bottom is a triangle connected slanted to the right""}","study","15","stimuli/15.jpg","6585.63","5","trapezoid upside down but the bottom is a triangle connected slanted to the right","14"
"","","","","","survey-text","17","2.0.0","977940","pnbgzhu4k0l","falcon","43154","","{""image_description"":""a square slanted to the left, with only one side of the trapezoid (the left side) shown.""}","study","14","stimuli/14.jpg","6580.15","5","a square slanted to the left, with only one side of the trapezoid (the left side) shown.","17"
"","","","","","survey-text","18","2.0.0","1071581","pnbgzhu4k0l","falcon","93125","","{""image_description"":""a lot of triangles in each sides and a lot of open space. Imagine a box, in this box there will be no endges but an open space on the right top side. The top right side will be a pointed triangle with at the side, a triangle dip that isn't pointy. the rest is pointed triangles""}","study","159","stimuli/159.jpg","7148.24","34","a lot of triangles in each sides and a lot of open space. Imagine a box, in this box there will be no endges but an open space on the right top side. The top right side will be a pointed triangle with at the side, a triangle dip that isn't pointy. the rest is pointed triangles","57"
"","","","","","survey-text","19","2.0.0","1157244","pnbgzhu4k0l","falcon","85145","","{""image_description"":""a roof top of a house with a squared nose facing the left side and a cartoon mouth shaped as a triangle. A stretched trapezoid connected at the bottom of its mouth. A triangle on the bottom left slanted towards the right side""}","study","105","stimuli/105.jpg","7003.86","23","a roof top of a house with a squared nose facing the left side and a cartoon mouth shaped as a triangle. A stretched trapezoid connected at the bottom of its mouth. A triangle on the bottom left slanted towards the right side","43"
"","","","","","survey-text","20","2.0.0","1203908","pnbgzhu4k0l","falcon","46148","","{""image_description"":""squares bunched up together. Imagine putting boxes on top of each other""}","study","95","stimuli/95.jpg","6926.4","21","squares bunched up together. Imagine putting boxes on top of each other","12"
"","","","","","survey-text","21","2.0.0","1252336","pnbgzhu4k0l","falcon","47917","","{""image_description"":""a christmas tress turned to the left side with the pointed top detached and connected to the bottom side of the tree. This tress has no trunk""}","study","132","stimuli/132.jpg","7051.12","29","a christmas tress turned to the left side with the pointed top detached and connected to the bottom side of the tree. This tress has no trunk","27"
"","","","","","survey-text","22","2.0.0","1312526","pnbgzhu4k0l","falcon","59674","","{""image_description"":""the outline of sonic the headstock with a pointy head as a triangle, and after the hair on the top right, the next will be 3 triangles on the left side""}","study","74","stimuli/74.jpg","6769.21","17","the outline of sonic the headstock with a pointy head as a triangle, and after the hair on the top right, the next will be 3 triangles on the left side","31"
"","","","","","survey-text","23","2.0.0","1412175","pnbgzhu4k0l","falcon","99131","","{""image_description"":""square slanted to the left. There is another square connecting to the first square to the left slanted side ways to the left with a long triangle (like a nose) with another small triangle towards the end. There will be another small triangle on the right side with the pointed side facing and slanting to the left side""}","study","76","stimuli/76.jpg","6844.06","18","square slanted to the left. There is another square connecting to the first square to the left slanted side ways to the left with a long triangle (like a nose) with another small triangle towards the end. There will be another small triangle on the right side with the pointed side facing and slanting to the left side","58"
"","","","","","survey-text","24","2.0.0","1499442","pnbgzhu4k0l","falcon","86749","","{""image_description"":""a triangle on the left side, a square slanted on the right side. next to the triangle, on the left, there will be another small square without a corner will extend a little long with another small square attached to the bottom right""}","study","47","stimuli/47.jpg","6715.11","12","a triangle on the left side, a square slanted on the right side. next to the triangle, on the left, there will be another small square without a corner will extend a little long with another small square attached to the bottom right","43"
"","","","","","survey-text","25","2.0.0","1528546","pnbgzhu4k0l","falcon","28594","","{""Q0"":""Being able to understand how people perceive things"",""Q1"":""no"",""Q2"":""yes"",""Q3"":""giving an example ""}","","","","","","",""
