"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","1199","pnlkyulorh5","Beaver","","","","","","","","","",""
"true","","","","","fullscreen","1","null","3705","pnlkyulorh5","Beaver","1497","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","16376","pnlkyulorh5","Beaver","12668","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","20391","pnlkyulorh5","Beaver","4005","","{""participant_id"":""Beaver""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","37243","pnlkyulorh5","Beaver","16835","","{""image_description"":""I see a square.""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","59194","pnlkyulorh5","Beaver","21442","","{""image_description"":""I see a bird that is spreading its wings out. ""}","study","151","stimuli/151.jpg","7245.76","33","I see a bird that is spreading its wings out. ","11"
"","","","","","survey-text","6","2.0.0","77849","pnlkyulorh5","Beaver","18144","","{""image_description"":""I see a small creature that is on his knees. ""}","study","145","stimuli/145.jpg","7185.33","31","I see a small creature that is on his knees. ","11"
"","","","","","survey-text","7","2.0.0","104907","pnlkyulorh5","Beaver","26552","","{""image_description"":""I see a bird (mostly duck).""}","study","71","stimuli/71.jpg","6779.96","17","I see a bird (mostly duck).","6"
"","","","","","survey-text","8","2.0.0","142897","pnlkyulorh5","Beaver","37484","","{""image_description"":""I see triangles that were put together in a spiky formation. ""}","study","144","stimuli/144.jpg","7102.03","31","I see triangles that were put together in a spiky formation. ","12"
"","","","","","survey-text","9","2.0.0","168121","pnlkyulorh5","Beaver","24717","","{""image_description"":""I see a boat shaped object. ""}","study","29","stimuli/29.jpg","6694.47","8","I see a boat shaped object. ","7"
"","","","","","survey-text","10","2.0.0","179447","pnlkyulorh5","Beaver","10819","","{""image_description"":""I see a parallelogram. ""}","study","8","stimuli/8.jpg","6564.91","4","I see a parallelogram. ","5"
"","","","","","survey-text","11","2.0.0","215030","pnlkyulorh5","Beaver","35074","","{""image_description"":""I see a dock that has the shape of bridge sticking out. ""}","study","27","stimuli/27.jpg","6627.84","8","I see a dock that has the shape of bridge sticking out. ","13"
"","","","","","survey-text","12","2.0.0","233895","pnlkyulorh5","Beaver","18353","","{""image_description"":""I see a character that seems to be tiptoeing. ""}","study","143","stimuli/143.jpg","6915.69","31","I see a character that seems to be tiptoeing. ","10"
