"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","rt","stimulus","response","condition","shape","image_path","surprisal","n_sides","text_response","word_count"
"true","false","[]","[]","[]","preload","0","2.0.0","848","pr1kyzyb8v7","gazelle","","","","","","","","","",""
"true","","","","","fullscreen","1","null","3535","pr1kyzyb8v7","gazelle","1684","","","","","","","","",""
"","","","","","html-keyboard-response","2","2.0.0","53244","pr1kyzyb8v7","gazelle","49706","<p style=""width:900px;"">Welcome to the experiment. Your task is simple: Just describe what you see on the screen. On each trial, you will see an unfamiliar shape; your goal should be to describe the shape so that a person could draw something similar based on your description. Your description can be any number of words you feel are necessary to accurately describe the shape. Press any key to begin.</p>"," ","","","","","","",""
"","","","","","survey-text","3","2.0.0","58319","pr1kyzyb8v7","gazelle","5071","","{""participant_id"":""gazelle""}","","","","","","",""
"","","","","","survey-text","4","2.0.0","81184","pr1kyzyb8v7","gazelle","22857","","{""image_description"":""a square by black line, empty inside\n""}","","","","","","",""
"","","","","","survey-text","5","2.0.0","467239","pr1kyzyb8v7","gazelle","385545","","{""image_description"":""a reversed trapezoid at 12 to 1 on the clock, than a triangle without the angle on top at 1 to 2. Then a triangle pointing to 5. followed by another trapezoid at 6. then you have a rectangle with the bottom left angle pointing down.""}","study","79","stimuli/79.jpg","6796.42","18","a reversed trapezoid at 12 to 1 on the clock, than a triangle without the angle on top at 1 to 2. Then a triangle pointing to 5. followed by another trapezoid at 6. then you have a rectangle with the bottom left angle pointing down.","46"
"","","","","","survey-text","6","2.0.0","725075","pr1kyzyb8v7","gazelle","257327","","{""image_description"":""one triangle pointing to the 1. then go straight down, turn left and go over to about 2/3 of the whole shape. Then draw a triangle with the top right length pointing back to the corner of straight and turn left corner. Then go to the top left and draw a triangle. Then draw another line that go all the way to the left and go up. you draw another triangle and go down and right a little bit. Finally, connect back to the original""}","study","127","stimuli/127.jpg","7055.1","28","one triangle pointing to the 1. then go straight down, turn left and go over to about 2/3 of the whole shape. Then draw a triangle with the top right length pointing back to the corner of straight and turn left corner. Then go to the top left and draw a triangle. Then draw another line that go all the way to the left and go up. you draw another triangle and go down and right a little bit. Finally, connect back to the original","85"
"","","","","","survey-text","7","2.0.0","834908","pr1kyzyb8v7","gazelle","109324","","{""image_description"":""a rectangle on the top right. connect to a trapezoid  on the bottom. then a rectangle on the top left and a small trapezoid on the top right of that rectangle. Looks like a bird flying pointing to the left.""}","study","64","stimuli/64.jpg","6822.22","15","a rectangle on the top right. connect to a trapezoid  on the bottom. then a rectangle on the top left and a small trapezoid on the top right of that rectangle. Looks like a bird flying pointing to the left.","41"
"","","","","","survey-text","8","2.0.0","945443","pr1kyzyb8v7","gazelle","110029","","{""image_description"":""a rectangle on the top left, follow by a rectangle and a triangle on the right. then go down you have two triangle from right to left. Then you have another triangle to the left below the first rectangle we draw. Finally, connect back to the first rectangle""}","study","118","stimuli/118.jpg","7003.15","26","a rectangle on the top left, follow by a rectangle and a triangle on the right. then go down you have two triangle from right to left. Then you have another triangle to the left below the first rectangle we draw. Finally, connect back to the first rectangle","48"
"","","","","","survey-text","9","2.0.0","1032026","pr1kyzyb8v7","gazelle","86076","","{""image_description"":""a rectangle on the top right follow by a triangle point to the bottom left below the rectangle. then you have a square on the bottom left follow by a triangle above it pointing to the top left.""}","study","75","stimuli/75.jpg","6817.48","17","a rectangle on the top right follow by a triangle point to the bottom left below the rectangle. then you have a square on the bottom left follow by a triangle above it pointing to the top left.","38"
"","","","","","survey-text","10","2.0.0","1100493","pr1kyzyb8v7","gazelle","67961","","{""image_description"":""a big rectangle without the bottom right corner.  ""}","study","58","stimuli/58.jpg","6794.84","14","a big rectangle without the bottom right corner.  ","10"
"","","","","","survey-text","11","2.0.0","1260079","pr1kyzyb8v7","gazelle","159062","","{""image_description"":""a reversed triangle on the middle top. a triangle on the right pointing to 1 on the clock. follow by a trapezoid on the bottom right. and a triangle pointing to the reversed triangle on the top. and a square on the left connect the bottom triangle with the reversed one on the top""}","study","104","stimuli/104.jpg","6941.74","23","a reversed triangle on the middle top. a triangle on the right pointing to 1 on the clock. follow by a trapezoid on the bottom right. and a triangle pointing to the reversed triangle on the top. and a square on the left connect the bottom triangle with the reversed one on the top","54"
"","","","","","survey-text","12","2.0.0","1403363","pr1kyzyb8v7","gazelle","142775","","{""image_description"":""a triangle pointing to the top left at top right. and a rectangle on the top right. follow by a trapezoid on the bottom right. and you draw a rectangle on the left with the bottom line on the left.""}","study","157","stimuli/157.jpg","7214.07","34","a triangle pointing to the top left at top right. and a rectangle on the top right. follow by a trapezoid on the bottom right. and you draw a rectangle on the left with the bottom line on the left.","40"
"","","","","","survey-text","13","2.0.0","1482079","pr1kyzyb8v7","gazelle","78210","","{""image_description"":""a square on the top left. a rectangle on the top right pointing to the 2. and a hook on the bottom left. connect back to the top right square""}","study","70","stimuli/70.jpg","6790.01","16","a square on the top left. a rectangle on the top right pointing to the 2. and a hook on the bottom left. connect back to the top right square","30"
"","","","","","survey-text","14","2.0.0","1541532","pr1kyzyb8v7","gazelle","58948","","{""image_description"":""3 triangles, on on the top right pointing down. 2 on the left side with one on top of each other. both pointing to the left outside.""}","study","32","stimuli/32.jpg","6645.1","9","3 triangles, on on the top right pointing down. 2 on the left side with one on top of each other. both pointing to the left outside.","27"
"","","","","","survey-text","15","2.0.0","1563148","pr1kyzyb8v7","gazelle","21112","","{""image_description"":""a rectangle with top right corner got cut off""}","study","11","stimuli/11.jpg","6580.42","5","a rectangle with top right corner got cut off","9"
